TV Soundtrack
French Pop
Blues
Bop
Choral
Arena Rock
Christian
Dirty South
New Acoustic
Solo Instrumental
Hair Metal
Singer/Songwriter
Avant-Garde Jazz
Breakbeat
Disco
Christmas: Classical
Latin
Asia
Electronic
Country
Crossover Jazz
R&B/Soul
Alternative Rap
Grunge
Latin Jazz
Folk-Rock
Afrobeats
Indie Rock
Death Metal/Black Metal
Comedy
K-Pop
Afro-Pop
Minimalism
Gospel
UK Hip-Hop
Soundtrack
House
Praise & Worship
Dub
Hip-Hop/Rap
Metal
Motown
Anime
Modern Era
Alternative Folk
Funk
Dance
New Wave
Blues-Rock
Children's Music
Jazz
Chant
Fitness & Workout
Vocal Pop
Musicals
Folk
Indie Pop
Classical Crossover
Romantic Era
African
Disney
Vocal Jazz
J-Pop
Alternative and Latin Rock
Goth Rock
Gangsta Rap
Electronica
Glam Rock
Contemporary Country
Rock
Halloween
Chamber Music
Contemporary Era
Country Blues
Worldwide
Modern Dancehall
Quiet Storm
Instrumental
Roots Reggae
Afro-fusion
Pop Punk
West Coast Rap
Rockabilly
Afro-Beat
Piano
Christmas
Prog-Rock/Art Rock
Downtempo
Rap
Fusion
Opera
Baroque Era
Son
Garage
Trance
Rock & Roll
Cello
Ambient
Bluegrass
Contemporary R&B
Music
British Invasion
Vocal
Contemporary Gospel
Honky Tonk
Russian
Psychedelic
Jungle/Drum'n'bass
Hard Bop
Indian
Southern Rock
Hip-Hop
Standup Comedy
Punk
Traditional Pop
East Coast Rap
Video Game
Electric Blues
Bolero
Original Score
Soft Rock
Pop
Alternative
Contemporary Singer/Songwriter
College Rock
Bollywood
Roots Rock
Worldbeat
Easy Listening
Contemporary Jazz
Indian Pop
Violin
Adult Alternative
Teen Pop
Europe
Art Song
Hard Rock
Spoken Word
Romance in Russian
Ska
Cuban
New Age
Industrial
Traditional Folk
Adult Contemporary
Latin Urban
Soul
Urban Cowboy
Americana
Contemporary Folk
Guajira
American Trad Rock
Sacred
Pop/Rock
Neo-Soul
Hardcore Rap
Classical
IDM/Experimental
Reggae
Britpop
Alternative Country
Orchestral
